Date,Vch/Bill No,Particulars,Item Details,Qty.,Unit,Price,Amount
01-08-2023,1691,Cash,PUTTY J K 20KG,6.00,Pcs.,380.00,2280.00
01-08-2023,,,TARPIN 1LT,3.00,Pcs.,130.00,390.00
01-08-2023,,,DHOTI,4.00,Pcs.,20.00,80.00
01-08-2023,,,"ROLLER FOAM ASIAN 6""",3.00,Pcs.,50.00,150.00
01-08-2023,,,MACHINE COLOURENT,0.10,LT,1000.00,100.00
01-08-2023,,,"MASKIN TAPE ASIAN 1""",1.00,Pcs.,30.00,30.00
01-08-2023,1692,Cash,CEMENT LOOSE,2.00,Kgs.,15.00,30.00
01-08-2023,,,MACHINE COLOUR 1LT  FAST YELLOW,1.00,Pcs.,0.00,0.00
01-08-2023,,,MACHINE COLOUR 1LT  H T YELLOW,1.00,Pcs.,0.00,0.00
01-08-2023,,,SUPERLITE METAL PRIMER 500ML,1.00,Pcs.,90.00,90.00
01-08-2023,,,L50M LOCK 50MM MALHOLVA,1.00,Pcs.,60.00,60.00
01-08-2023,,,STEELGRIP TAPE,1.00,Pcs.,15.00,15.00
01-08-2023,,,REGMARG CLOTH ROLL 80,0.50,Metre,60.00,30.00
01-08-2023,1693,Cash,APCO STAINER YELLOW GREEN 200ML,2.00,Pcs.,160.00,320.00
01-08-2023,,,APCO STAINER FAST GREEN 200ML,2.00,Pcs.,160.00,320.00
01-08-2023,,,TRACTOR EMUL WHITE 20LTR,1.00,Pcs.,2650.00,2650.00
01-08-2023,1694,Paytm,AD2 TEFLON TAPE,1.00,Pcs.,10.00,10.00
01-08-2023,,,"864  JALLI PLANE C P 2""",1.00,Pcs.,20.00,20.00
01-08-2023,,,PVC PLUG HEAVY,2.00,Pcs.,10.00,20.00
01-08-2023,1695,SHEKHAR SHARMA,PV-SEAL 50ML,1.00,Pcs.,35.00,35.00
01-08-2023,,,"PVC PIPE GREEN 4"" HEAVY AMITYA GOLD",0.50,FEET,80.00,40.00
01-08-2023,,,BRICK GBC,55.00,Pcs.,7.64,420.00
01-08-2023,,,CEMENT AMBUJA,1.00,BAG,365.00,365.00
01-08-2023,,,"UPVC F-SOCCET 1/2""",1.00,Pcs.,50.00,50.00
01-08-2023,,,CPVC SOLVENT 15ML PRINCE,1.00,Pcs.,20.00,20.00
01-08-2023,1696,RAJENDER BHANDARI GALI NO- 9,APCO ENAM BAY BROWN 1LT,1.00,Pcs.,280.00,280.00
